template_interface	ligand_1	ligand_2	cluster_representatives	target_interface
1O01_A_D	EDO	EDO	 4X2Q_A_D	4PZ2_A_D,4PZ2_B_C,1BI9_A_D,1BI9_B_C,4X2Q_B_C,4X2Q_A_D,1AG8_A_D,1AG8_B_C,1A4Z_A_D,1A4Z_B_C,5L2O_E_H,5L2O_B_C,1O9J_B_C,1O9J_A_D,5L2O_F_G,1BXS_B_C,5L2O_A_D,1BXS_A_D,6B5G_A_B,6ALJ_A_B,6B5H_A_C,6ALJ_C_D,6B5I_A_B,6B5I_C_D,6B5H_B_D,6B5G_C_D,5L13_A_D,5L13_B_C,5L13_E_H,5L13_F_G,3SZ9_A_D,1O00_E_H,3N80_A_D,1NZW_E_H,4FR8_B_C,3N83_A_D,1O05_B_C,2ONP_A_D,3INJ_B_C,1NZW_F_G,1O05_E_H,2ONO_B_C,2ONP_F_G,1O02_A_D,3N82_B_C,4FQF_B_C,1O01_B_C,3INJ_E_H,2ONM_B_C,3N81_A_D,3N80_F_G,3INJ_F_G,3N82_A_D,1O04_B_C,1O04_F_G,3SZ9_B_C,1NZX_E_H,1ZUM_E_H,3INL_F_G,1O02_F_G,1ZUM_I_L,1O00_F_G,1O02_E_H,2ONP_E_H,1NZX_F_G,1NZZ_B_C,1ZUM_F_G,3SZ9_E_H,2ONO_A_D,1O04_A_D,1O04_E_H,3N83_B_C,1NZX_B_C,3N82_E_H,1O05_F_G,1O00_B_C,4FQF_A_D,1NZW_A_D,3N81_E_H,2ONN_B_C,2ONM_E_H,3SZ9_F_G,1O00_A_D,2ONM_A_D,3INJ_A_D,1NZZ_E_H,1O02_B_C,3INL_B_C,1NZZ_F_G,2ONN_A_D,3N80_E_H,2ONN_E_H,2ONM_I_L,1ZUM_B_C,3N83_F_G,3INL_A_D,3N82_F_G,1ZUM_J_K,2ONN_F_G,3N81_B_C,1O01_F_G,2ONM_F_G,3INL_E_H,4FR8_A_D,2ONO_F_G,3N81_F_G,2ONP_B_C,2ONO_E_H,1O05_A_D,3N83_E_H,4FR8_F_G,1NZW_B_C,1NZZ_A_D,2ONM_J_K,3N80_B_C,1O01_E_H,1NZX_A_D,1ZUM_A_D,4FR8_E_H,1CW3_B_C,4KWG_E_H,1CW3_E_H,1CW3_A_D,4KWF_B_C,4KWF_E_H,4KWF_A_D,4KWG_F_G,4KWG_B_C,2VLE_B_C,2VLE_E_H,4KWF_F_G,4KWG_A_D,2VLE_A_D,1CW3_F_G,2VLE_F_G
4FQF_A_D	URE	URE	 4X2Q_A_D	4PZ2_A_D,4PZ2_B_C,1BI9_A_D,1BI9_B_C,4X2Q_B_C,4X2Q_A_D,1AG8_A_D,1AG8_B_C,1A4Z_A_D,1A4Z_B_C,5L2O_E_H,5L2O_B_C,1O9J_B_C,1O9J_A_D,5L2O_F_G,1BXS_B_C,5L2O_A_D,1BXS_A_D,6B5G_A_B,6ALJ_A_B,6B5H_A_C,6ALJ_C_D,6B5I_A_B,6B5I_C_D,6B5H_B_D,6B5G_C_D,5L13_A_D,5L13_B_C,5L13_E_H,5L13_F_G,3SZ9_A_D,1O00_E_H,3N80_A_D,1NZW_E_H,4FR8_B_C,3N83_A_D,1O05_B_C,2ONP_A_D,3INJ_B_C,1NZW_F_G,1O05_E_H,2ONO_B_C,2ONP_F_G,1O02_A_D,3N82_B_C,4FQF_B_C,1O01_B_C,3INJ_E_H,2ONM_B_C,3N81_A_D,3N80_F_G,3INJ_F_G,3N82_A_D,1O04_B_C,1O04_F_G,3SZ9_B_C,1NZX_E_H,1ZUM_E_H,3INL_F_G,1O02_F_G,1ZUM_I_L,1O00_F_G,1O02_E_H,2ONP_E_H,1NZX_F_G,1NZZ_B_C,1ZUM_F_G,3SZ9_E_H,2ONO_A_D,1O04_A_D,1O04_E_H,3N83_B_C,1NZX_B_C,3N82_E_H,1O05_F_G,1O00_B_C,1NZW_A_D,3N81_E_H,2ONN_B_C,2ONM_E_H,3SZ9_F_G,1O00_A_D,2ONM_A_D,3INJ_A_D,1NZZ_E_H,1O02_B_C,3INL_B_C,1NZZ_F_G,1O01_A_D,2ONN_A_D,3N80_E_H,2ONN_E_H,2ONM_I_L,1ZUM_B_C,3N83_F_G,3INL_A_D,3N82_F_G,1ZUM_J_K,2ONN_F_G,3N81_B_C,1O01_F_G,2ONM_F_G,3INL_E_H,4FR8_A_D,2ONO_F_G,3N81_F_G,2ONP_B_C,2ONO_E_H,1O05_A_D,3N83_E_H,4FR8_F_G,1NZW_B_C,1NZZ_A_D,2ONM_J_K,3N80_B_C,1O01_E_H,1NZX_A_D,1ZUM_A_D,4FR8_E_H,1CW3_B_C,4KWG_E_H,1CW3_E_H,1CW3_A_D,4KWF_B_C,4KWF_E_H,4KWF_A_D,4KWG_F_G,4KWG_B_C,2VLE_B_C,2VLE_E_H,4KWF_F_G,4KWG_A_D,2VLE_A_D,1CW3_F_G,2VLE_F_G
1O04_A_C	EDO	EDO	 4GO4_A_D	3K2W_B_C,3K2W_E_H,3K2W_A_D,3K2W_F_G,6J75_A_D,6J75_B_C,4GO4_A_D,4GO4_B_C,4O6R_C_D,4O6R_A_B,1BI9_A_C,1BI9_B_D,1A4Z_A_C,1AG8_A_C,1A4Z_B_D,1AG8_B_D,5L13_A_C,5L13_F_H,5L13_B_D,5L13_E_G,2ONN_A_C,2ONP_A_C,1ZUM_I_K,2ONM_J_L,2ONP_B_D,1NZW_E_G,1NZX_A_C,3INL_F_H,3N83_B_D,1NZX_F_H,4FR8_A_C,1O02_B_D,3N82_F_H,2ONP_F_H,1O00_F_H,4FR8_B_D,3SZ9_A_C,3SZ9_E_G,3INJ_A_C,2ONM_I_K,4FQF_A_C,3N81_F_H,2ONM_E_G,2ONN_E_G,3N81_E_G,3N83_E_G,3N83_A_C,4FR8_E_G,1NZX_B_D,1ZUM_J_L,1NZW_A_C,1O04_F_H,2ONM_F_H,2ONO_E_G,1O00_E_G,1O05_F_H,2ONO_F_H,1O01_F_H,3N82_B_D,4FR8_F_H,3N80_A_C,1O00_B_D,3N80_B_D,1NZW_F_H,1O02_A_C,1NZW_B_D,3N83_F_H,2ONM_B_D,3INJ_F_H,3N81_A_C,1O01_B_D,1NZZ_B_D,1O01_E_G,2ONP_E_G,3N82_E_G,3INL_E_G,1ZUM_B_D,1ZUM_A_C,3INL_B_D,1NZZ_E_G,1O04_E_G,1O00_A_C,2ONN_B_D,3N80_F_H,1O02_E_G,1O04_B_D,1O05_A_C,2ONM_A_C,2ONO_B_D,3N82_A_C,2ONO_A_C,1NZZ_F_H,3INJ_B_D,3INL_A_C,2ONN_F_H,3INJ_E_G,3N80_E_G,3SZ9_F_H,1O02_F_H,1O01_A_C,1O05_B_D,1ZUM_E_G,3SZ9_B_D,1ZUM_F_H,1NZX_E_G,3N81_B_D,4FQF_B_D,1O05_E_G,1NZZ_A_C,2VLE_F_H,4KWF_E_G,4KWF_A_C,4KWG_B_D,1CW3_E_G,4KWG_F_H,4KWF_F_H,4KWG_A_C,1CW3_F_H,1CW3_B_D,2VLE_B_D,2VLE_A_C,4KWG_E_G,2VLE_E_G,4KWF_B_D,1CW3_A_C,4X2Q_B_D,4X2Q_A_C,6B5G_A_D,6B5I_A_D,6B5G_B_C,6ALJ_A_D,6ALJ_B_C,6B5I_B_C,6B5H_B_C,6B5H_A_D,5FHZ_E_G,5FHZ_B_D,5FHZ_F_H,5FHZ_A_C,5L2O_F_H,1BXS_A_C,5L2O_E_G,1O9J_A_C,5L2O_B_D,5L2O_A_C,1BXS_B_D,1O9J_B_D
1ZUM_J_L		GAI	 4GO4_A_D	3K2W_B_C,3K2W_E_H,3K2W_A_D,3K2W_F_G,6J75_A_D,6J75_B_C,4GO4_A_D,4GO4_B_C,4O6R_C_D,4O6R_A_B,1BI9_A_C,1BI9_B_D,1A4Z_A_C,1AG8_A_C,1A4Z_B_D,1AG8_B_D,5L13_A_C,5L13_F_H,5L13_B_D,5L13_E_G,2ONN_A_C,2ONP_A_C,1ZUM_I_K,1O04_A_C,2ONM_J_L,2ONP_B_D,1NZW_E_G,1NZX_A_C,3INL_F_H,3N83_B_D,1NZX_F_H,4FR8_A_C,1O02_B_D,3N82_F_H,2ONP_F_H,1O00_F_H,4FR8_B_D,3SZ9_A_C,3SZ9_E_G,3INJ_A_C,2ONM_I_K,4FQF_A_C,3N81_F_H,2ONM_E_G,2ONN_E_G,3N81_E_G,3N83_E_G,3N83_A_C,4FR8_E_G,1NZX_B_D,1NZW_A_C,1O04_F_H,2ONM_F_H,2ONO_E_G,1O00_E_G,1O05_F_H,2ONO_F_H,1O01_F_H,3N82_B_D,4FR8_F_H,3N80_A_C,1O00_B_D,3N80_B_D,1NZW_F_H,1O02_A_C,1NZW_B_D,3N83_F_H,2ONM_B_D,3INJ_F_H,3N81_A_C,1O01_B_D,1NZZ_B_D,1O01_E_G,2ONP_E_G,3N82_E_G,3INL_E_G,1ZUM_B_D,1ZUM_A_C,3INL_B_D,1NZZ_E_G,1O04_E_G,1O00_A_C,2ONN_B_D,3N80_F_H,1O02_E_G,1O04_B_D,1O05_A_C,2ONM_A_C,2ONO_B_D,3N82_A_C,2ONO_A_C,1NZZ_F_H,3INJ_B_D,3INL_A_C,2ONN_F_H,3INJ_E_G,3N80_E_G,3SZ9_F_H,1O02_F_H,1O01_A_C,1O05_B_D,1ZUM_E_G,3SZ9_B_D,1ZUM_F_H,1NZX_E_G,3N81_B_D,4FQF_B_D,1O05_E_G,1NZZ_A_C,2VLE_F_H,4KWF_E_G,4KWF_A_C,4KWG_B_D,1CW3_E_G,4KWG_F_H,4KWF_F_H,4KWG_A_C,1CW3_F_H,1CW3_B_D,2VLE_B_D,2VLE_A_C,4KWG_E_G,2VLE_E_G,4KWF_B_D,1CW3_A_C,4X2Q_B_D,4X2Q_A_C,6B5G_A_D,6B5I_A_D,6B5G_B_C,6ALJ_A_D,6ALJ_B_C,6B5I_B_C,6B5H_B_C,6B5H_A_D,5FHZ_E_G,5FHZ_B_D,5FHZ_F_H,5FHZ_A_C,5L2O_F_H,1BXS_A_C,5L2O_E_G,1O9J_A_C,5L2O_B_D,5L2O_A_C,1BXS_B_D,1O9J_B_D
3K2W_A_D	GOL		 4GO4_A_D	3K2W_B_C,3K2W_E_H,3K2W_F_G,6J75_A_D,6J75_B_C,4GO4_A_D,4GO4_B_C,4O6R_C_D,4O6R_A_B,1BI9_A_C,1BI9_B_D,1A4Z_A_C,1AG8_A_C,1A4Z_B_D,1AG8_B_D,5L13_A_C,5L13_F_H,5L13_B_D,5L13_E_G,2ONN_A_C,2ONP_A_C,1ZUM_I_K,1O04_A_C,2ONM_J_L,2ONP_B_D,1NZW_E_G,1NZX_A_C,3INL_F_H,3N83_B_D,1NZX_F_H,4FR8_A_C,1O02_B_D,3N82_F_H,2ONP_F_H,1O00_F_H,4FR8_B_D,3SZ9_A_C,3SZ9_E_G,3INJ_A_C,2ONM_I_K,4FQF_A_C,3N81_F_H,2ONM_E_G,2ONN_E_G,3N81_E_G,3N83_E_G,3N83_A_C,4FR8_E_G,1NZX_B_D,1ZUM_J_L,1NZW_A_C,1O04_F_H,2ONM_F_H,2ONO_E_G,1O00_E_G,1O05_F_H,2ONO_F_H,1O01_F_H,3N82_B_D,4FR8_F_H,3N80_A_C,1O00_B_D,3N80_B_D,1NZW_F_H,1O02_A_C,1NZW_B_D,3N83_F_H,2ONM_B_D,3INJ_F_H,3N81_A_C,1O01_B_D,1NZZ_B_D,1O01_E_G,2ONP_E_G,3N82_E_G,3INL_E_G,1ZUM_B_D,1ZUM_A_C,3INL_B_D,1NZZ_E_G,1O04_E_G,1O00_A_C,2ONN_B_D,3N80_F_H,1O02_E_G,1O04_B_D,1O05_A_C,2ONM_A_C,2ONO_B_D,3N82_A_C,2ONO_A_C,1NZZ_F_H,3INJ_B_D,3INL_A_C,2ONN_F_H,3INJ_E_G,3N80_E_G,3SZ9_F_H,1O02_F_H,1O01_A_C,1O05_B_D,1ZUM_E_G,3SZ9_B_D,1ZUM_F_H,1NZX_E_G,3N81_B_D,4FQF_B_D,1O05_E_G,1NZZ_A_C,2VLE_F_H,4KWF_E_G,4KWF_A_C,4KWG_B_D,1CW3_E_G,4KWG_F_H,4KWF_F_H,4KWG_A_C,1CW3_F_H,1CW3_B_D,2VLE_B_D,2VLE_A_C,4KWG_E_G,2VLE_E_G,4KWF_B_D,1CW3_A_C,4X2Q_B_D,4X2Q_A_C,6B5G_A_D,6B5I_A_D,6B5G_B_C,6ALJ_A_D,6ALJ_B_C,6B5I_B_C,6B5H_B_C,6B5H_A_D,5FHZ_E_G,5FHZ_B_D,5FHZ_F_H,5FHZ_A_C,5L2O_F_H,1BXS_A_C,5L2O_E_G,1O9J_A_C,5L2O_B_D,5L2O_A_C,1BXS_B_D,1O9J_B_D
4FQF_A_C	URE	URE	 4GO4_A_D	3K2W_B_C,3K2W_E_H,3K2W_A_D,3K2W_F_G,6J75_A_D,6J75_B_C,4GO4_A_D,4GO4_B_C,4O6R_C_D,4O6R_A_B,1BI9_A_C,1BI9_B_D,1A4Z_A_C,1AG8_A_C,1A4Z_B_D,1AG8_B_D,5L13_A_C,5L13_F_H,5L13_B_D,5L13_E_G,2ONN_A_C,2ONP_A_C,1ZUM_I_K,1O04_A_C,2ONM_J_L,2ONP_B_D,1NZW_E_G,1NZX_A_C,3INL_F_H,3N83_B_D,1NZX_F_H,4FR8_A_C,1O02_B_D,3N82_F_H,2ONP_F_H,1O00_F_H,4FR8_B_D,3SZ9_A_C,3SZ9_E_G,3INJ_A_C,2ONM_I_K,3N81_F_H,2ONM_E_G,2ONN_E_G,3N81_E_G,3N83_E_G,3N83_A_C,4FR8_E_G,1NZX_B_D,1ZUM_J_L,1NZW_A_C,1O04_F_H,2ONM_F_H,2ONO_E_G,1O00_E_G,1O05_F_H,2ONO_F_H,1O01_F_H,3N82_B_D,4FR8_F_H,3N80_A_C,1O00_B_D,3N80_B_D,1NZW_F_H,1O02_A_C,1NZW_B_D,3N83_F_H,2ONM_B_D,3INJ_F_H,3N81_A_C,1O01_B_D,1NZZ_B_D,1O01_E_G,2ONP_E_G,3N82_E_G,3INL_E_G,1ZUM_B_D,1ZUM_A_C,3INL_B_D,1NZZ_E_G,1O04_E_G,1O00_A_C,2ONN_B_D,3N80_F_H,1O02_E_G,1O04_B_D,1O05_A_C,2ONM_A_C,2ONO_B_D,3N82_A_C,2ONO_A_C,1NZZ_F_H,3INJ_B_D,3INL_A_C,2ONN_F_H,3INJ_E_G,3N80_E_G,3SZ9_F_H,1O02_F_H,1O01_A_C,1O05_B_D,1ZUM_E_G,3SZ9_B_D,1ZUM_F_H,1NZX_E_G,3N81_B_D,4FQF_B_D,1O05_E_G,1NZZ_A_C,2VLE_F_H,4KWF_E_G,4KWF_A_C,4KWG_B_D,1CW3_E_G,4KWG_F_H,4KWF_F_H,4KWG_A_C,1CW3_F_H,1CW3_B_D,2VLE_B_D,2VLE_A_C,4KWG_E_G,2VLE_E_G,4KWF_B_D,1CW3_A_C,4X2Q_B_D,4X2Q_A_C,6B5G_A_D,6B5I_A_D,6B5G_B_C,6ALJ_A_D,6ALJ_B_C,6B5I_B_C,6B5H_B_C,6B5H_A_D,5FHZ_E_G,5FHZ_B_D,5FHZ_F_H,5FHZ_A_C,5L2O_F_H,1BXS_A_C,5L2O_E_G,1O9J_A_C,5L2O_B_D,5L2O_A_C,1BXS_B_D,1O9J_B_D
1OMI_A_B	GOL	GOL	 2XKP_A_B	2BGC_A_B,2BGC_F_G,2BGC_H_I,2BGC_D_E,5X6E_E_F,5X6D_M_N,5X6D_G_H,5LRR_E_F,5LRR_A_B,6QVY_A_B,5X6E_A_B,5X6E_M_N,5LEJ_A_B,5LRR_G_H,5LRS_A_B,5X6D_A_B,5LRR_C_D,5F1R_A_B,5LEK_A_B,2BEO_A_B,6EUZ_A_B,6EUT_A_B,6QWK_A_B,6EXL_A_B,6EXM_A_B,6QW1_A_B,6QWM_A_B,6EXK_A_B,6QW2_A_B,6HCK_A_B,6QVZ_A_B,6QWH_A_B,6QWF_A_B,6EV0_A_B,6EUU_A_B,3DN7_A_B,4I2O_A_B,2XKO_A_B,2XHK_A_B,2XGX_A_B,2XKP_C_F,2XKP_A_B,2XKP_D_E,3LA7_A_B,3LA2_A_B,3LA3_A_B
3DN7_A_B		EDO	 2XKP_A_B	2BGC_A_B,2BGC_F_G,2BGC_H_I,2BGC_D_E,5X6E_E_F,5X6D_M_N,5X6D_G_H,5LRR_E_F,5LRR_A_B,6QVY_A_B,5X6E_A_B,5X6E_M_N,5LEJ_A_B,5LRR_G_H,5LRS_A_B,5X6D_A_B,5LRR_C_D,5F1R_A_B,5LEK_A_B,1OMI_A_B,2BEO_A_B,6EUZ_A_B,6EUT_A_B,6QWK_A_B,6EXL_A_B,6EXM_A_B,6QW1_A_B,6QWM_A_B,6EXK_A_B,6QW2_A_B,6HCK_A_B,6QVZ_A_B,6QWH_A_B,6QWF_A_B,6EV0_A_B,6EUU_A_B,4I2O_A_B,2XKO_A_B,2XHK_A_B,2XGX_A_B,2XKP_C_F,2XKP_A_B,2XKP_D_E,3LA7_A_B,3LA2_A_B,3LA3_A_B
1OMS_A_B	GOL	SO2	 2YM9_A_D	1OMS_A_C,2YM9_B_C,2YM9_A_D
1ONI_A_B	BEZ	BEZ	 3LME_A_B	2OTM_A_B,2OTM_A_C,2OTM_B_C,3D01_B_H,3D01_D_H,3D01_G_L,3D01_E_G,3D01_C_F,3D01_C_J,3D01_E_L,3D01_F_J,3D01_A_K,3D01_B_D,3D01_A_I,3D01_I_K,2EWC_A_C,2EWC_A_B,2EWC_H_J,2EWC_H_I,2EWC_K_L,2EWC_I_J,2EWC_D_F,2EWC_G_K,2EWC_D_E,2EWC_G_L,2EWC_E_F,2EWC_B_C,3I3F_A_C,3I3F_A_B,3I3F_B_C,3GTZ_A_C,3GTZ_B_C,3GTZ_A_B,3K12_A_C,3K12_B_E,3K12_B_F,3K12_C_D,3K12_A_D,3K12_E_F,3KJK_H_I,3KJJ_H_I,3KJK_D_F,3KJJ_G_I,3KJK_K_L,3KJJ_A_B,3KJK_J_K,3KJJ_G_H,3KJJ_D_E,3KJK_J_L,3KJK_B_C,3KJK_G_H,3KJK_G_I,3KJJ_B_C,3KJK_A_B,3KJJ_D_F,3KJK_E_F,3KJJ_E_F,3KJK_A_C,3KJJ_A_C,3KJK_D_E,6IZH_G_H,6IZH_D_F,6IZH_D_E,6IZH_A_B,6IZH_H_I,6IZH_G_I,6IZH_E_F,6IZH_B_C,6IZH_A_C,1XRG_B_C,1XRG_A_B,1XRG_A_C,1NQ3_E_F,1NQ3_D_E,1NQ3_B_C,1NQ3_D_F,1NQ3_A_C,1NQ3_A_B,1ONI_A_C,1ONI_D_E,1ONI_D_F,1ONI_B_C,1ONI_E_F,1ONI_H_I,1ONI_G_H,1ONI_G_I,2IG8_B_C,2IG8_A_B,2IG8_A_C,3V4D_A_F,3V4D_C_F,3V4D_D_E,3V4D_B_D,3V4D_B_E,3V4D_A_C,3LME_J_K,3LME_G_I,3LME_J_L,3LME_G_H,3LME_A_B,3LME_D_F,3LME_B_C,3LME_E_F,3LME_H_I,3LME_K_L,3LME_A_C,3LME_D_E,6L8P_B_C,6L8P_A_C,6L8P_A_B,3K0T_A_B,3K0T_B_C,3K0T_A_C,3R0P_B_F,3R0P_A_F,3R0P_A_B,3R0P_D_E,3R0P_C_D,3R0P_C_E
2EWC_A_B	GOL	GOL	 3LME_A_B	2OTM_A_B,2OTM_A_C,2OTM_B_C,3D01_B_H,3D01_D_H,3D01_G_L,3D01_E_G,3D01_C_F,3D01_C_J,3D01_E_L,3D01_F_J,3D01_A_K,3D01_B_D,3D01_A_I,3D01_I_K,2EWC_A_C,2EWC_H_J,2EWC_H_I,2EWC_K_L,2EWC_I_J,2EWC_D_F,2EWC_G_K,2EWC_D_E,2EWC_G_L,2EWC_E_F,2EWC_B_C,3I3F_A_C,3I3F_A_B,3I3F_B_C,3GTZ_A_C,3GTZ_B_C,3GTZ_A_B,3K12_A_C,3K12_B_E,3K12_B_F,3K12_C_D,3K12_A_D,3K12_E_F,3KJK_H_I,3KJJ_H_I,3KJK_D_F,3KJJ_G_I,3KJK_K_L,3KJJ_A_B,3KJK_J_K,3KJJ_G_H,3KJJ_D_E,3KJK_J_L,3KJK_B_C,3KJK_G_H,3KJK_G_I,3KJJ_B_C,3KJK_A_B,3KJJ_D_F,3KJK_E_F,3KJJ_E_F,3KJK_A_C,3KJJ_A_C,3KJK_D_E,6IZH_G_H,6IZH_D_F,6IZH_D_E,6IZH_A_B,6IZH_H_I,6IZH_G_I,6IZH_E_F,6IZH_B_C,6IZH_A_C,1XRG_B_C,1XRG_A_B,1XRG_A_C,1NQ3_E_F,1NQ3_D_E,1NQ3_B_C,1NQ3_D_F,1NQ3_A_C,1NQ3_A_B,1ONI_A_C,1ONI_D_E,1ONI_D_F,1ONI_B_C,1ONI_E_F,1ONI_H_I,1ONI_A_B,1ONI_G_H,1ONI_G_I,2IG8_B_C,2IG8_A_B,2IG8_A_C,3V4D_A_F,3V4D_C_F,3V4D_D_E,3V4D_B_D,3V4D_B_E,3V4D_A_C,3LME_J_K,3LME_G_I,3LME_J_L,3LME_G_H,3LME_A_B,3LME_D_F,3LME_B_C,3LME_E_F,3LME_H_I,3LME_K_L,3LME_A_C,3LME_D_E,6L8P_B_C,6L8P_A_C,6L8P_A_B,3K0T_A_B,3K0T_B_C,3K0T_A_C,3R0P_B_F,3R0P_A_F,3R0P_A_B,3R0P_D_E,3R0P_C_D,3R0P_C_E
1HJX_A_B	GOL	GOL	 1HJV_A_B	1HJV_A_B,5E84_A_C
1HJX_A_D	GOL	GOL	 1HJV_A_D	1HJX_B_C,1HJV_B_C,1HJV_A_D,4AY1_A_G,4AY1_B_L
1OO0_A_B	BME	BME	 5YZG_v_w	3EX7_A_B,3EX7_E_G,6ICZ_v_w,5XJC_v_w,5YZG_v_w,2HYI_A_B,2HYI_G_H,6QDV_8_9,2XB2_C_D,2XB2_Y_Z,2J0Q_C_D,2J0Q_F_G,2J0S_C_D,1RK8_A_B,2X1G_A_B,2X1G_C_D,1P27_C_D,1P27_A_B
1ORG_A_B	GOL		 3FY6_C_D	3FY6_C_D,1OW4_A_B
1OS7_A_B	TAU		 3V15_A_B	1OTJ_A_B,1OTJ_C_D,1OS7_C_D,3V17_A_D,3V15_C_D,3V17_B_C,3PVJ_A_D,3V15_A_B,3PVJ_B_C
1OS2_A_B	HAE		 1OS2_A_B	6R7W_A_B,1OS2_B_C,1OS9_B_F,1OS9_A_C,1OS9_B_D,1OS2_D_E,1OS9_A_E,1OS2_E_F,6HV2_A_B
6R7W_A_B	CIT	CIT	 1OS2_A_B	1OS2_B_C,1OS9_B_F,1OS9_A_C,1OS9_B_D,1OS2_D_E,1OS9_A_E,1OS2_E_F,1OS2_A_B,6HV2_A_B
1OSV_A_B	CHC		 1OT7_A_B	5Q0L_A_C,5Q1H_C_E,3OOF_A_C,5Q1H_A_G,1OT7_A_B,4RKM_C_E,4RKM_K_L,4RKM_B_I,4EMO_B_C,4EMO_A_D,6UST_A_C
1OT7_A_C	CHC		 1OT7_A_C	7C4J_E_H,1OT7_B_D,1P8D_A_C,1P8D_B_D,3L0E_A_B
1UB7_A_D	GOL	GOL	 1UB7_A_D	5UJW_C_E
1OYJ_A_B	GOL	GOL	 6GHF_A_B	4AGS_B_C,4AGS_A_C,4AGS_A_B,4O7H_A_B,6HPE_A_B,6F43_A_B,6F4K_A_B,6F6A_A_B,6F4B_A_B,6F68_A_B,6F66_A_B,6F4F_A_B,6F69_A_B,6F51_A_B,6F67_A_B,4MDC_A_B,4MDC_C_D,1OYJ_C_D,6GHF_A_B,1GWC_B_C,5KEJ_A_B,5J5N_A_B,5AGY_A_B,2VO4_A_B,4CHS_A_B,4TOP_A_B,5G5A_C_D,5G5A_A_B,6EP6_A_B,6EP7_A_B
1OF8_A_B	GOL	GOL	 1KFL_A_B	6U8J_E_G,6U8J_A_C,6U8J_F_H,6U8J_B_D,1OG0_E_F,1OFP_A_B,1OG0_A_B,1OF6_G_H,1HFB_G_H,1OF6_E_F,1HFB_C_D,1OFR_G_H,1OFQ_C_D,1OFR_C_D,1OFA_A_B,1OF6_C_D,1OFP_C_D,1OFB_A_B,1OF6_A_B,1HFB_A_B,1HFB_E_F,1OG0_G_H,1OFR_E_F,1OFQ_A_B,1OFO_A_B,1OAB_A_B,1OFR_A_B,1OG0_C_D,1KFL_G_H,1KFL_A_B,1N8F_C_D,1QR7_C_D,1KFL_C_D,1QR7_A_B,1GG1_C_D,1N8F_A_B,1KFL_E_F,1GG1_A_B,5CZT_C_D,4UCG_A_B,4UMC_C_D,5D05_A_B,5D04_C_D,5DCD_C_D,4IXX_A_B,5CZ0_C_D,4UCG_C_D,5DCE_C_D,4HSO_A_B,4HSN_C_D,5CZS_A_B,5CZ0_A_B,4HSN_A_B,4UMC_A_B,5D03_A_B,5DCD_A_B,5D09_C_D,5DCB_C_D,5D05_C_D,4HSO_C_D,4UC5_C_D,4UMA_A_B,5D03_C_D,4UC5_A_B,5CZS_C_D,5DCE_A_B,4IXX_C_D,4UMA_C_D,5CZT_A_B,4UMB_A_B,4UMB_C_D,5D02_A_B,5DCB_A_B,5D09_A_B,5D02_C_D,5CKS_A_B,5CKS_C_D
1P0C_A_B	GOL		 1PIW_A_B	4EEX_A_B,4EEZ_A_B,5FI3_A_B,5FI5_A_B,5H83_A_B,1YQD_A_B,1YQX_A_B,1P0F_A_B,3IP1_A_D,3IP1_B_C,1PIW_A_B,4OAQ_A_B,7C2O_A_B
1P0F_A_B		GOL	 1PIW_A_B	4EEX_A_B,4EEZ_A_B,5FI3_A_B,5FI5_A_B,5H83_A_B,1YQD_A_B,1YQX_A_B,1P0C_A_B,3IP1_A_D,3IP1_B_C,1PIW_A_B,4OAQ_A_B,7C2O_A_B
